,0,1,2
0,Albania,2020-05-12,933.241397857666
1,Andorra,2020-05-12,751.1756682991982
2,Armenia,2020-05-12,2628.674119949341
3,Austria,2020-05-12,16496.20393371582
4,Azerbaijan,2020-05-12,2360.3515243530273
5,Belarus,2020-05-12,23714.727783203125
6,Belgium,2020-05-12,54842.15496826172
7,Bosnia_and_Herzegovina,2020-05-12,2606.421272277832
8,Bulgaria,2020-05-12,2054.3153076171875
9,Croatia,2020-05-12,2323.962802886963
10,Cyprus,2020-05-12,931.1296186447144
11,Czechia,2020-05-12,8764.885559082031
12,Denmark,2020-05-12,11110.087951660156
13,Estonia,2020-05-12,1848.1043100357056
14,Faroe_Islands,2020-05-12,187.0013491329737
15,Finland,2020-05-12,5975.061622619629
16,France,2020-05-12,141964.26446533203
17,Georgia,2020-05-12,732.3971705436707
18,Germany,2020-05-12,178445.974609375
19,Gibraltar,2020-05-12,143.88319244608283
20,Greece,2020-05-12,2746.0102541446686
21,Guernsey,2020-05-12,256.07988814264536
22,Holy_See,2020-05-12,11.008303143782541
23,Hungary,2020-05-12,3636.9322547912598
24,Iceland,2020-05-12,1805.5512769818306
25,Ireland,2020-05-12,24837.68310546875
26,Isle_of_Man,2020-05-12,325.53827118873596
27,Italy,2020-05-12,221724.53833007812
28,Jersey,2020-05-12,293.6279726624489
29,Kosovo,2020-05-12,890.508820772171
30,Latvia,2020-05-12,1009.5384340286255
31,Liechtenstein,2020-05-12,82.62252209335566
32,Lithuania,2020-05-12,1702.0380849838257
33,Luxembourg,2020-05-12,4163.148029327393
34,Malta,2020-05-12,552.4952290058136
35,Moldova,2020-05-12,5227.638828277588
36,Monaco,2020-05-12,95.00223206821829
37,Montenegro,2020-05-12,320.868122048676
38,Netherlands,2020-05-12,46467.705810546875
39,North_Macedonia,2020-05-12,1768.9453029632568
40,Norway,2020-05-12,8444.182151794434
41,Poland,2020-05-12,15989.932647705078
42,Portugal,2020-05-12,28575.044006347656
43,Romania,2020-05-12,14738.713806152344
44,Russia,2020-05-12,222006.0576171875
45,San_Marino,2020-05-12,643.3406176567078
46,Serbia,2020-05-12,11444.190628051758
47,Slovakia,2020-05-12,1645.74760055542
48,Slovenia,2020-05-12,1619.766438961029
49,Spain,2020-05-12,245281.64892578125
50,Sweden,2020-05-12,26983.835662841797
51,Switzerland,2020-05-12,30648.559783935547
52,Ukraine,2020-05-12,24317.47668838501
53,United_Kingdom,2020-05-12,228266.03271484375
